Sample_ID,Dose_Ratio,SUVmax_Bias_In(%),MAPE_In(%),CR_In(%),SUVmax_Bias_Out(%),MAPE_Out(%),CR_Out(%)
P0947_D4_Z0018,0.250,-0.8090,6.6325,101.8249,-8.2438,6.9345,101.8466
P0947_D4_Z0019,0.250,6.6029,6.0419,101.7640,-0.7135,6.6994,101.7092
P0947_D4_Z0020,0.250,5.3202,5.6945,100.8676,0.9236,6.0962,100.2513
P0947_D4_Z0021,0.250,3.1374,5.8166,100.7509,-7.9335,5.9783,99.8250
P0947_D4_Z0022,0.250,4.1293,5.6981,100.4351,-10.6511,5.8972,99.8608
P0947_D4_Z0023,0.250,5.5213,5.6302,101.4258,-4.6555,6.1091,100.7233
P0947_D4_Z0024,0.250,6.0105,5.6503,101.8745,-3.1278,6.2993,100.6378
P0947_D4_Z0025,0.250,3.2520,5.5148,101.4939,-7.2481,6.4151,100.6560
P0947_D4_Z0026,0.250,3.6467,5.6976,101.6084,-6.4719,6.2980,100.9312
P0947_D4_Z0027,0.250,3.1558,5.9661,101.7142,-2.7248,6.3585,100.2584
P0947_D4_Z0028,0.250,0.4639,6.0952,101.5431,-7.8105,6.4245,99.2849
P0947_D4_Z0029,0.250,2.4637,6.1507,101.7809,-8.5157,6.6125,98.8286
P0947_D4_Z0030,0.250,3.6104,6.2687,101.2881,-3.2752,6.9288,98.9279
P0947_D4_Z0031,0.250,5.5635,6.1458,101.4181,-0.9265,6.8766,99.0389
P0947_D4_Z0032,0.250,3.4358,5.8298,102.0229,2.2274,6.5161,99.2617
P0947_D4_Z0033,0.250,0.1375,5.8248,101.7450,-6.7848,6.7352,98.9695
P0947_D4_Z0034,0.250,3.3753,5.9876,101.1779,-3.2364,7.3642,97.7544
P0947_D4_Z0035,0.250,1.5490,5.7811,101.4295,-8.9793,7.4961,97.9633
P0947_D4_Z0036,0.250,5.0127,5.6310,102.0542,-8.5325,7.2858,98.4528
P0947_D4_Z0037,0.250,4.9403,5.4554,102.2933,-10.8748,6.9551,98.6342
P0947_D4_Z0038,0.250,4.0766,5.4448,102.1109,-10.6630,6.7490,98.9945
P0947_D4_Z0039,0.250,-0.8273,5.4110,102.1232,-16.2677,6.3412,99.6197
P0947_D4_Z0040,0.250,-1.8302,5.1517,102.4059,-21.4021,5.9467,99.6955
P0947_D4_Z0041,0.250,0.9801,5.1146,102.0801,-6.1889,5.8310,100.4031
P0947_D4_Z0042,0.250,1.7374,5.3109,101.5863,3.0836,5.9053,100.8173
P0947_D4_Z0043,0.250,-2.4385,5.2138,101.6497,-4.4692,5.9377,100.4222
P0947_D4_Z0044,0.250,-1.0413,5.0811,100.9853,-7.2102,5.6730,100.1056
P0947_D4_Z0045,0.250,-1.1981,5.0931,100.3183,-9.6065,5.3957,99.5570
P0947_D4_Z0046,0.250,1.9118,5.5192,100.1150,-7.3227,5.6538,99.3277
P0947_D4_Z0047,0.250,5.6632,6.2045,101.0742,-3.0441,6.3809,100.3288
P0947_D4_Z0048,0.250,15.0922,6.2714,101.6696,0.1394,6.6309,100.7996
P0947_D4_Z0049,0.250,8.0697,5.9840,101.9298,-1.9450,6.4567,101.0264
P0947_D4_Z0050,0.250,3.6321,5.6935,101.5374,-2.1573,6.2674,101.2045
P0947_D4_Z0051,0.250,10.1998,6.2199,100.5853,4.3596,6.2567,100.1201
P0947_D4_Z0052,0.250,12.7419,6.3298,100.5333,5.8562,6.1280,99.8881
P0947_D4_Z0053,0.250,5.8286,6.4909,99.9630,2.0216,6.0980,99.2430
P0947_D4_Z0054,0.250,2.1116,6.4858,99.4587,-4.5647,5.8795,99.1004
P0947_D4_Z0055,0.250,1.8821,6.3232,99.5918,-1.7948,5.8641,99.2609
P0947_D4_Z0056,0.250,9.1610,6.8788,99.7985,3.3450,6.2744,100.0492
P0947_D4_Z0057,0.250,8.9725,7.0669,101.2654,5.4649,6.3466,102.0388
P0947_D4_Z0058,0.250,10.1005,7.8593,101.3449,6.7489,6.7103,99.8497
P0947_D4_Z0059,0.250,8.3364,7.9752,101.0708,4.0811,6.9002,99.2458
P0947_D4_Z0060,0.250,3.2478,8.1017,101.0989,0.9891,7.2460,98.5196
P0947_D4_Z0061,0.250,6.4643,8.2514,101.4633,3.3868,7.1675,98.6375
P0947_D4_Z0062,0.250,3.5097,8.4453,101.2054,6.1556,7.2940,98.4766
P0947_D4_Z0063,0.250,3.8811,8.5012,100.6699,5.9440,7.2300,97.9530
P0947_D4_Z0064,0.250,5.4082,8.3726,100.1848,-0.7347,7.1539,97.7678
P0947_D4_Z0065,0.250,4.3263,8.7549,100.1067,-2.4316,7.4675,98.2231
P0947_D4_Z0066,0.250,7.8091,8.6307,100.3821,6.0773,7.2532,98.6848
P0947_D4_Z0067,0.250,17.7252,8.7528,100.5737,13.9994,7.2787,98.8444
P0947_D4_Z0068,0.250,4.0273,8.4078,100.1821,6.5218,7.1285,98.0842
P0947_D4_Z0069,0.250,1.1840,8.0560,100.1133,5.2159,6.9899,97.8446
P0947_D4_Z0070,0.250,1.6450,7.9380,100.2888,-0.7529,6.8711,97.9813
P0947_D4_Z0071,0.250,10.8423,7.9586,100.5818,3.3335,6.8333,98.4511
P0947_D4_Z0072,0.250,16.0164,8.0291,100.2249,8.3761,6.5965,98.0784
P0947_D4_Z0073,0.250,3.8487,8.2370,100.4267,-3.2897,6.7252,98.3003
P0947_D4_Z0074,0.250,2.8009,8.4338,100.6049,-3.8218,6.8821,98.4851
P0947_D4_Z0075,0.250,3.3768,8.1357,100.4321,-5.1091,6.7736,98.0700
P0947_D4_Z0076,0.250,5.0085,8.0639,100.1181,-1.5333,6.7397,97.9795
P0947_D4_Z0077,0.250,7.5504,8.4382,100.5952,2.6902,6.8837,98.5474
P0947_D4_Z0078,0.250,22.1642,8.1199,100.5476,14.5259,6.6463,98.5782
P0947_D4_Z0079,0.250,16.4480,7.9799,100.3227,12.7272,6.5758,98.4348
P0947_D4_Z0080,0.250,15.3089,7.7635,100.2866,13.2077,6.2626,98.4520
P0947_D4_Z0081,0.250,1.6573,8.0203,100.5126,-0.1980,6.5083,98.9075
P0947_D4_Z0082,0.250,3.9536,8.2943,101.0046,2.4023,6.8142,99.4976
P0947_D4_Z0083,0.250,1.0981,8.3637,101.3021,-0.1765,6.7613,98.8036
P0947_D4_Z0084,0.250,10.9013,8.3091,101.1512,9.1114,6.7381,98.4746
P0947_D4_Z0085,0.250,2.2592,8.3544,101.6917,-3.4948,6.9568,98.9620
P0947_D4_Z0086,0.250,-0.1704,8.2369,102.5952,-1.8664,6.7853,99.9161
P0947_D4_Z0087,0.250,-9.0309,8.1185,103.8272,-14.4863,6.7795,101.1970
P0947_D4_Z0088,0.250,-6.4160,8.0473,102.8655,-11.1388,6.6690,100.3483
P0947_D4_Z0089,0.250,-0.6502,7.7216,100.8454,-7.2913,6.3603,98.3809
P0947_D4_Z0090,0.250,-1.4325,7.8441,100.0279,-6.0419,6.4593,98.2715
P0947_D4_Z0091,0.250,5.3242,8.1198,98.6119,1.8013,6.7104,96.9335
P0947_D4_Z0092,0.250,7.5834,8.0905,97.9809,5.2397,6.6395,96.3734
P0947_D4_Z0093,0.250,7.2850,7.9813,99.5731,8.0742,6.5770,97.8495
P0947_D4_Z0094,0.250,9.8640,8.1111,99.6014,13.7268,6.7572,98.0138
P0947_D4_Z0095,0.250,-2.2548,8.2790,100.5209,-5.6865,6.9972,98.2750
P0947_D4_Z0096,0.250,4.1220,8.5168,101.1115,2.9687,7.0336,98.2574
P0947_D4_Z0097,0.250,9.9023,8.5891,100.4844,9.6108,6.7712,97.8618
P0947_D4_Z0098,0.250,12.7793,8.7024,99.9622,9.9443,6.8902,97.2780
P0947_D4_Z0099,0.250,12.9917,8.9798,99.7907,8.3320,7.2043,96.9527
P0947_D4_Z0100,0.250,10.0986,8.6437,100.2399,5.6397,6.9153,97.1574
P0947_D4_Z0101,0.250,6.9088,8.6457,100.8786,2.1452,6.8076,97.8596
P0947_D4_Z0102,0.250,3.6922,8.8317,100.7752,-3.3709,6.9403,97.7735
P0947_D4_Z0103,0.250,2.0632,8.8427,100.0130,-3.5480,7.1762,97.4099
P0947_D4_Z0104,0.250,-0.9382,8.8704,98.6606,-7.4533,7.2961,96.3206
P0947_D4_Z0105,0.250,3.3636,9.1206,98.6753,2.8640,7.5230,95.6716
P0947_D4_Z0106,0.250,17.9655,9.2066,98.7442,15.7855,7.5316,96.0236
P0947_D4_Z0107,0.250,12.9523,8.9949,99.4829,10.2504,7.1647,96.9291
P0947_D4_Z0108,0.250,-1.2996,8.9109,100.3393,-1.3678,6.9096,97.6929
P0947_D4_Z0109,0.250,12.8223,8.9636,100.1582,8.6448,7.0393,97.8407
P0947_D4_Z0110,0.250,13.2244,9.0301,99.2868,11.3807,7.2233,97.1712
P0947_D4_Z0111,0.250,8.7875,8.9988,98.5080,3.7405,7.2901,96.6138
P0947_D4_Z0112,0.250,6.7277,9.1799,99.1859,1.3574,7.4680,97.8356
P0947_D4_Z0113,0.250,19.4814,9.2929,100.0288,11.4779,7.2814,98.5874
P0947_D4_Z0114,0.250,27.2418,9.2895,99.9284,16.6236,7.1866,98.5435
P0947_D4_Z0115,0.250,11.3124,9.1813,99.5241,5.0229,7.0983,98.3196
P0947_D4_Z0116,0.250,11.6960,9.5633,99.7896,5.0326,7.4658,98.8477
P0947_D4_Z0117,0.250,2.9016,9.5131,100.3632,-5.0712,7.4720,99.3078
P0947_D4_Z0118,0.250,11.3462,9.4808,99.9442,2.9690,7.4838,98.8949
P0947_D4_Z0119,0.250,21.0149,9.3380,100.0885,12.6356,7.3148,99.1072
P0947_D4_Z0120,0.250,26.9483,9.1233,99.9746,15.9377,7.1232,98.7871
P0947_D4_Z0121,0.250,19.3582,9.1214,100.0312,8.4681,6.9624,98.8380
P0947_D4_Z0122,0.250,8.6755,9.0499,100.2815,-2.9036,6.9330,98.9881
P0947_D4_Z0123,0.250,-2.1862,9.2126,99.6454,-7.4055,7.1328,98.7498
P0947_D4_Z0124,0.250,9.2048,9.3037,98.9423,0.2956,7.1927,98.0915
P0947_D4_Z0125,0.250,17.0358,9.3190,99.1691,5.1558,7.0475,98.2369
P0947_D4_Z0126,0.250,15.1330,9.0975,99.7894,4.8000,6.8396,98.6941
P0947_D4_Z0127,0.250,12.6581,8.8360,100.2090,-1.4941,6.7206,98.9531
P0947_D4_Z0128,0.250,3.1344,8.7711,100.6883,-0.9704,6.7821,99.5009
P0947_D4_Z0129,0.250,8.8381,8.9292,100.9256,1.7666,6.9712,99.6936
P0947_D4_Z0130,0.250,3.2943,8.9671,101.0018,-5.6408,7.0711,100.0446
P0947_D4_Z0131,0.250,8.3586,8.9849,100.3352,-0.7087,7.0431,99.6040
P0947_D4_Z0132,0.250,12.0908,8.9924,99.5940,0.9508,6.9830,98.9384
P0947_D4_Z0133,0.250,11.9471,8.8336,99.6704,-0.3318,6.8776,99.0391
P0947_D4_Z0134,0.250,9.8448,8.7474,99.8178,-1.1061,6.9601,99.0218
P0947_D4_Z0135,0.250,8.1089,8.8969,99.3589,-2.8478,7.1484,98.3483
P0947_D4_Z0136,0.250,11.0806,9.0422,99.2982,-2.7571,7.1689,98.1850
P0947_D4_Z0137,0.250,8.0153,9.0996,99.8730,-6.2360,7.1453,98.7446
P0947_D4_Z0138,0.250,3.8207,8.9789,99.5447,-6.3402,7.0321,98.3706
P0947_D4_Z0139,0.250,-1.9114,8.8654,98.8377,-10.1947,6.9842,97.7391
P0947_D4_Z0140,0.250,1.0367,8.8871,99.7167,-6.2368,7.1429,98.6344
P0947_D4_Z0141,0.250,3.6029,8.9863,100.2469,-2.2526,7.2114,99.0269
P0947_D4_Z0142,0.250,5.6368,8.9396,100.6225,-5.5914,7.1454,99.2440
P0947_D4_Z0143,0.250,7.9214,8.4737,100.8131,-7.9673,6.7886,99.4641
P0947_D4_Z0144,0.250,9.3942,8.1414,100.2284,1.9019,6.3372,98.7820
P0947_D4_Z0145,0.250,7.4071,7.7242,99.3633,5.1951,6.0820,98.1614
P0947_D4_Z0146,0.250,3.2938,7.4672,100.4648,0.8719,6.1134,99.8513
P0947_D4_Z0147,0.250,-0.4096,7.5039,101.5322,-2.0073,6.2405,100.8682
P0947_D4_Z0148,0.250,3.2321,7.2795,100.6814,-3.5264,5.9736,99.9725
P0947_D4_Z0149,0.250,-1.9574,7.4708,99.8878,-6.9196,5.8971,99.0222
P0947_D4_Z0150,0.250,-5.3952,7.7515,99.5154,-7.8967,5.9014,98.3670
P0947_D4_Z0151,0.250,4.1443,7.9041,99.7823,4.3243,6.1274,98.7664
P0947_D4_Z0152,0.250,4.7383,7.5006,100.9107,1.2611,5.9788,99.9680
P0947_D4_Z0153,0.250,-0.6233,7.4128,102.1549,-5.0042,6.1403,101.3270
P0947_D4_Z0154,0.250,-4.9313,7.7659,101.7658,-7.7875,6.4014,101.3429
P0947_D4_Z0155,0.250,-5.6086,7.8423,100.3650,-10.2711,6.2875,99.9930
P1044_D10_Z0000,0.100,2.5385,5.1390,98.6646,-17.4722,7.5652,94.7333
P1044_D10_Z0001,0.100,4.5741,5.2120,99.1906,-20.5369,7.8726,94.5233
P1044_D10_Z0002,0.100,5.6316,5.3692,99.5222,-15.9398,7.7917,94.6210
P1044_D10_Z0003,0.100,7.6314,5.4443,99.9469,-6.5258,7.4918,95.3169
P1044_D10_Z0004,0.100,-0.1083,5.4130,100.1686,-8.4741,7.1200,95.6871
P1044_D10_Z0005,0.100,2.7046,5.4270,100.0090,-5.7448,6.8414,96.2730
P1044_D10_Z0006,0.100,4.3187,5.5744,100.1226,-6.9951,6.7811,96.0432
P1044_D10_Z0007,0.100,11.0334,5.8263,99.6738,0.1726,7.1660,95.3255
P1044_D10_Z0008,0.100,11.6114,5.9220,100.0189,1.0851,7.6314,94.0735
P1044_D10_Z0009,0.100,8.3675,5.9352,100.5613,-2.1422,8.0878,94.0172
P1044_D10_Z0010,0.100,5.7628,5.9164,101.0639,-5.0034,8.2032,95.5572
P1044_D10_Z0011,0.100,3.5236,5.9385,101.1174,-3.7866,8.0596,97.1818
P1044_D10_Z0012,0.100,6.0291,5.9394,100.7200,2.1504,8.1348,96.9859
P1044_D10_Z0013,0.100,2.0896,5.8845,100.5857,0.0937,8.2307,96.9555
P1044_D10_Z0014,0.100,0.8668,5.8532,100.6430,-3.0438,8.0065,97.0278
P1044_D10_Z0015,0.100,3.7434,5.9383,100.7305,-7.0149,7.6500,97.2938
P1044_D10_Z0016,0.100,5.4608,6.2091,100.9879,-4.2982,7.5654,97.4030
P1044_D10_Z0017,0.100,-1.8912,6.1389,100.7548,-7.1627,7.1455,97.4135
P1044_D10_Z0018,0.100,4.4579,6.1707,100.2005,-5.9491,7.1164,97.7734
P1044_D10_Z0019,0.100,4.8933,6.0923,99.6180,11.1554,7.1102,97.6725
P1044_D10_Z0020,0.100,4.6590,6.2114,99.0246,-6.2975,6.7921,97.7197
P1044_D10_Z0021,0.100,5.3441,6.4200,98.7211,7.3693,6.9784,97.8630
P1044_D10_Z0022,0.100,8.4803,6.8633,99.0439,-2.6792,7.7166,98.5294
P1044_D10_Z0023,0.100,8.5060,6.9205,100.0724,-5.4604,7.7940,99.6533
P1044_D10_Z0024,0.100,7.4252,6.8600,100.4623,-14.0900,7.2454,100.3708
P1044_D10_Z0025,0.100,9.4488,7.2442,100.0057,-14.3363,7.1948,100.6804
P1044_D10_Z0026,0.100,9.5138,7.4257,100.2332,-8.4017,7.1134,101.4781
P1044_D10_Z0027,0.100,7.5998,7.5219,100.7388,-5.8321,7.1544,102.8324
P1044_D10_Z0028,0.100,9.5843,7.5832,100.6423,-4.3197,6.6684,102.7824
P1044_D10_Z0029,0.100,13.7415,8.3182,99.9437,1.0486,7.0217,101.9000
P1044_D10_Z0030,0.100,13.9014,8.8978,98.9895,2.9151,7.2722,101.3540
P1044_D10_Z0031,0.100,14.5211,9.1669,98.7442,1.8971,7.2939,100.1093
P1044_D10_Z0032,0.100,12.6786,9.1601,98.9561,2.5278,7.6608,98.1513
P1044_D10_Z0033,0.100,10.7697,9.1760,99.2150,-1.4611,8.0417,97.3977
P1044_D10_Z0034,0.100,21.0265,9.2873,99.6859,0.3853,8.0986,97.7621
P1044_D10_Z0035,0.100,18.7813,9.4090,99.8662,0.9441,8.4238,97.8328
P1044_D10_Z0036,0.100,10.2644,9.4866,99.7821,5.3126,8.7411,97.5960
P1044_D10_Z0037,0.100,5.8443,9.8591,99.8146,4.0732,8.6770,97.1395
P1044_D10_Z0038,0.100,5.3846,10.6081,99.0931,-4.7765,8.5338,95.6584
P1044_D10_Z0039,0.100,11.3012,11.3742,99.5479,1.5938,8.9127,96.7590
P1044_D10_Z0040,0.100,6.0810,11.7465,99.8412,-5.1141,8.8114,97.3671
P1044_D10_Z0041,0.100,-2.0176,11.6323,100.0135,-10.8546,8.4402,97.1400
P1044_D10_Z0042,0.100,-1.5803,11.9263,100.4500,-17.1690,8.4182,97.1693
P1044_D10_Z0043,0.100,-0.6131,12.1203,100.3324,-22.9803,8.5233,97.5113
P1044_D10_Z0044,0.100,-2.7017,11.8547,100.0229,-22.0814,8.2328,97.8715
P1044_D10_Z0045,0.100,12.1315,11.9462,100.2253,-7.0797,8.2353,98.6056
P1044_D10_Z0046,0.100,14.1086,12.1594,100.2343,-1.7753,8.2745,98.9484
P1044_D10_Z0047,0.100,25.3251,12.3249,100.3047,2.5175,8.5174,98.7702
P1044_D10_Z0048,0.100,0.9142,12.0988,99.6593,-5.1071,8.5930,97.3017
P1044_D10_Z0049,0.100,-0.2540,12.0477,99.0052,-3.5693,8.4886,96.2379
P1044_D10_Z0050,0.100,6.9642,12.2261,99.2621,3.5216,8.6357,96.6225
P1044_D10_Z0051,0.100,7.3110,12.4267,99.5246,4.1232,8.9469,97.3462
P1044_D10_Z0052,0.100,5.5814,12.4011,99.3179,4.0133,9.0774,98.0465
P1044_D10_Z0053,0.100,11.7924,12.5012,99.3695,12.4099,8.8608,98.5301
P1044_D10_Z0054,0.100,9.8453,12.1378,100.4524,2.4621,8.4912,99.2203
P1044_D10_Z0055,0.100,11.0658,11.8920,101.7072,-2.3781,8.2580,100.3540
P1044_D10_Z0056,0.100,0.3910,12.1365,101.8212,-4.9690,8.8370,100.0165
P1044_D10_Z0057,0.100,3.9579,11.9229,100.2372,-11.1373,9.5003,98.6320
P1044_D10_Z0058,0.100,8.0962,11.5477,99.4031,-11.8298,9.3993,98.1041
P1044_D10_Z0059,0.100,10.3606,11.5034,99.4764,-7.8532,8.8606,98.8189
P1044_D10_Z0060,0.100,14.0977,12.1843,101.4438,-0.0353,8.9400,99.4212
P1044_D10_Z0061,0.100,19.2894,12.2382,102.1730,0.9659,8.8548,99.6806
P1044_D10_Z0062,0.100,16.7930,11.8808,101.4816,-9.2319,8.9033,98.6996
P1044_D10_Z0063,0.100,17.0441,11.1239,100.8431,-13.7004,9.1482,98.1757
P1044_D10_Z0064,0.100,17.1286,11.3690,99.7075,-11.3083,9.0427,97.2533
P1044_D10_Z0065,0.100,18.7259,11.8054,98.8955,-4.2106,8.6786,96.2889
P1044_D10_Z0066,0.100,13.7512,12.0430,98.1608,-1.1809,8.7227,95.3701
P1044_D10_Z0067,0.100,3.5240,11.9790,98.2483,-7.7536,8.6443,95.1273
P1044_D10_Z0068,0.100,8.4393,11.8866,98.7476,-5.0610,8.6397,96.0414
P1044_D10_Z0069,0.100,-9.7386,11.4937,98.8228,-23.0408,8.9020,96.2230
P1044_D10_Z0070,0.100,-9.6072,10.8576,99.9889,-23.4670,8.9315,96.5724
P1044_D10_Z0071,0.100,-3.9928,10.4012,100.6150,-15.2851,8.7965,97.3488
P1044_D10_Z0072,0.100,1.4934,10.2074,100.8337,-6.2920,8.5607,98.0239
P1044_D10_Z0073,0.100,0.4914,11.0092,100.0902,-4.5384,8.9237,97.7666
P1044_D10_Z0074,0.100,1.0735,11.6779,99.2449,-3.5162,9.0424,97.0388
P1044_D10_Z0075,0.100,0.8776,10.9885,99.8470,-2.4910,8.5940,97.0344
P1044_D10_Z0076,0.100,-3.5530,10.1870,99.3452,-3.6418,7.3613,96.6163
P1044_D10_Z0077,0.100,-5.3184,10.0541,98.7437,-7.0260,7.1498,96.6088
P1044_D10_Z0078,0.100,-1.7677,11.6944,99.8825,-9.4826,8.3374,98.4150
P1044_D10_Z0079,0.100,11.4298,12.4679,101.3605,-18.7917,8.3362,99.9903
P1044_D10_Z0080,0.100,22.9913,13.1151,101.6076,4.3577,8.6647,100.5896
P1044_D10_Z0081,0.100,2.6245,13.3279,100.8331,-1.6300,8.7737,100.1340
P1044_D10_Z0082,0.100,-1.8801,13.1572,101.1824,-11.2822,8.9897,99.9714
P1044_D10_Z0083,0.100,-6.1893,12.9535,102.2253,-16.8927,8.9183,100.4081
P1044_D10_Z0084,0.100,0.2922,12.9195,102.3821,-15.3194,8.4930,100.9256
P1044_D10_Z0085,0.100,0.6015,13.1246,100.8769,-4.8253,8.4925,99.6366
P1044_D10_Z0086,0.100,-2.7431,13.1419,98.6867,-6.4117,8.5613,97.6156
P1044_D10_Z0087,0.100,-7.0867,12.9910,98.5446,-13.8754,8.5213,98.2514
P1044_D10_Z0088,0.100,-2.3647,12.9268,100.4547,-7.7830,8.6307,99.0997
P1044_D10_Z0089,0.100,4.0964,13.0636,102.1062,4.7068,8.8429,99.4678
P1044_D10_Z0090,0.100,2.2201,13.4080,103.0157,7.8040,8.9620,100.1659
P1044_D10_Z0091,0.100,11.3985,13.5687,102.9793,7.3034,9.0674,100.1105
P1044_D10_Z0092,0.100,4.3087,13.4948,102.2199,-9.5984,8.9588,98.9501
P1044_D10_Z0093,0.100,11.1252,13.4065,101.4105,-7.4750,8.9455,97.5467
P1044_D10_Z0094,0.100,14.6162,13.2635,100.4449,-3.6592,8.9322,96.8247
P1044_D10_Z0095,0.100,10.3442,13.2882,101.6697,-1.5861,8.9854,98.1539
P1044_D10_Z0096,0.100,14.9394,13.5137,102.4983,7.7178,9.0561,99.1905
P1044_D10_Z0097,0.100,17.6737,13.8486,101.5819,11.4043,9.0939,98.7600
P1044_D10_Z0098,0.100,-5.6212,13.8300,100.1292,-12.9808,9.0897,97.3910
P1044_D10_Z0099,0.100,-8.6583,13.7177,99.6891,-19.6045,8.7980,96.3231
P1044_D10_Z0100,0.100,-5.0781,13.6995,100.0721,-16.9359,8.7625,96.4046
P1044_D10_Z0101,0.100,-1.8209,13.8172,100.3612,-18.6702,8.9830,97.4208
P1044_D10_Z0102,0.100,6.3356,14.1243,100.9779,-3.4542,9.3995,98.4095
P1044_D10_Z0103,0.100,4.9792,14.3119,101.9817,-1.6413,9.3692,99.0919
P1044_D10_Z0104,0.100,22.7084,14.2360,102.5033,10.4856,9.1646,98.5507
P1044_D10_Z0105,0.100,28.6978,14.2102,102.6458,11.5887,9.2632,98.6884
P1044_D10_Z0106,0.100,8.2292,14.1317,102.3100,-10.5838,9.3111,98.9286
P1044_D10_Z0107,0.100,23.4732,14.4000,101.0633,-8.7986,9.1814,97.6011
P1044_D10_Z0108,0.100,29.5099,14.7167,100.6237,-5.2189,9.4176,97.4882
P1044_D10_Z0109,0.100,10.1238,14.8502,100.4983,0.8819,9.5672,97.4047
P1044_D10_Z0110,0.100,18.6506,14.8943,100.8159,9.6439,9.6295,98.1292
P1044_D10_Z0111,0.100,24.9466,14.7761,100.6077,13.6910,9.6089,97.6924
P1044_D10_Z0112,0.100,15.5626,14.7885,99.8066,7.9358,9.5152,96.4550
P1044_D10_Z0113,0.100,20.0923,14.9301,99.4361,7.7840,9.5365,96.2952
P1044_D10_Z0114,0.100,18.1275,14.1026,100.7464,8.8766,9.2570,97.2082
P1044_D10_Z0115,0.100,12.8881,13.5884,101.9998,12.9781,8.8243,98.2107
P1044_D10_Z0116,0.100,5.5100,14.5657,101.6509,14.4694,8.9184,97.4599
P1044_D10_Z0117,0.100,15.1518,14.8896,101.1972,4.0582,9.1712,97.2650
P1044_D10_Z0118,0.100,-3.3602,15.0171,101.1728,-9.1095,9.2435,97.7398
P1044_D10_Z0119,0.100,3.7259,15.1289,100.2169,-17.1695,9.4382,97.1811
P1044_D10_Z0120,0.100,18.1362,15.0674,99.8906,-7.1921,9.4336,97.3583
P1044_D10_Z0121,0.100,-1.8210,14.7454,100.5443,-14.0664,9.1895,97.4714
P1044_D10_Z0122,0.100,2.1126,14.8272,100.6773,1.4520,9.4209,97.7246
P1044_D10_Z0123,0.100,16.3585,15.4647,100.1919,2.2434,9.8430,97.4510
P1044_D10_Z0124,0.100,5.9060,15.4880,98.9317,-6.6169,9.7475,96.4048
P1044_D10_Z0125,0.100,13.1272,15.4007,98.5983,-6.8483,9.5956,95.4908
P1044_D10_Z0126,0.100,8.5304,15.3468,98.7440,-8.8396,9.6214,95.2999
P1044_D10_Z0127,0.100,9.2585,15.3433,100.0168,0.0059,9.6257,96.6391
P1044_D10_Z0128,0.100,9.5352,15.2267,99.7665,4.8791,9.5946,97.2461
P1044_D10_Z0129,0.100,4.6080,15.0929,99.9075,6.7856,9.6531,97.5198
P1044_D10_Z0130,0.100,14.6039,15.0889,99.8029,1.0823,9.6877,97.2099
P1044_D10_Z0131,0.100,9.8252,14.9140,99.9684,4.8627,9.4387,97.2878
P1044_D10_Z0132,0.100,2.6769,14.7688,100.1949,2.1944,9.3816,97.8473
P1044_D10_Z0133,0.100,-0.3534,14.4937,99.5830,-1.3755,9.2854,97.7701
P1044_D10_Z0134,0.100,-0.3317,14.6901,99.0924,-2.1074,9.3173,97.4841
P1044_D10_Z0135,0.100,6.0359,14.9072,98.5753,-1.3222,9.2656,97.2114
P1044_D10_Z0136,0.100,7.2710,15.2109,98.4227,-0.7340,9.3701,97.2405
P1044_D10_Z0137,0.100,14.1579,15.4997,98.7833,3.8166,9.4748,97.3824
P1044_D10_Z0138,0.100,10.7088,15.3060,99.1612,0.1481,9.6321,97.7788
P1044_D10_Z0139,0.100,2.5226,15.1219,99.4487,-2.9983,9.3886,97.7797
P1044_D10_Z0140,0.100,-2.5368,15.2204,98.8729,-11.1951,9.4332,96.8487
P1044_D10_Z0141,0.100,18.9237,15.8033,98.0815,-4.1395,9.6703,95.9153
P1044_D10_Z0142,0.100,16.4459,15.4018,98.1587,0.0912,9.3037,96.0570
P1044_D10_Z0143,0.100,9.5311,14.8166,98.4348,3.3433,9.0433,96.4833
P1044_D10_Z0144,0.100,4.1780,14.8876,98.4747,-3.0688,9.0942,96.5817
P1044_D10_Z0145,0.100,11.5249,15.4575,98.5575,-4.2258,9.3962,97.1189
P1044_D10_Z0146,0.100,19.3140,15.7475,99.1692,-3.2735,9.5348,97.6641
P1044_D10_Z0147,0.100,7.0169,15.6471,99.1184,-12.0808,9.5232,97.7136
P1044_D10_Z0148,0.100,9.9545,15.8194,98.8969,-6.5413,9.5176,97.5398
P1044_D10_Z0149,0.100,14.7941,16.0107,98.2357,-0.2026,9.6128,97.0647
P1044_D10_Z0150,0.100,14.1423,15.8703,98.6730,4.4181,9.4747,97.3352
P1044_D10_Z0151,0.100,4.2298,15.2911,99.5806,-17.6558,9.1248,97.6399
P1044_D10_Z0152,0.100,8.0999,14.8080,100.1827,-7.2969,9.1334,97.9697
P1044_D10_Z0153,0.100,9.3738,14.8368,99.9095,-6.2917,9.0624,98.0975
P1044_D10_Z0154,0.100,16.8773,15.4804,99.1604,0.5648,9.2005,96.7678
P1044_D10_Z0155,0.100,9.5296,15.0889,99.8162,-3.1431,8.9902,97.6769
P1044_D10_Z0156,0.100,9.7806,14.3932,99.7381,3.1474,8.9515,98.2141
P1044_D10_Z0157,0.100,5.1107,14.0386,98.9087,2.2862,8.8920,98.0728
P1044_D10_Z0158,0.100,8.1783,14.1040,98.0890,8.4947,8.7826,97.1646
